label,generic_name,source,confidence,drug_class,common_form
Aceta,Paracetamol,dataset,1.0,,
Ace,Paracetamol,dataset,1.0,,
Alatrol,Cetirizine Hydrochloride,dataset,1.0,,
Amodis,Metronidazole,dataset,1.0,,
Atrizin,Cetirizine Hydrochloride,dataset,1.0,,
Axodin,Fexofenadine Hydrochloride,dataset,1.0,,
Azithrocin,Azithromycin Dihydrate,dataset,1.0,,
Azyth,Azithromycin Dihydrate,dataset,1.0,,
Az,Azithromycin Dihydrate,dataset,1.0,,
Bacaid,Baclofen,dataset,1.0,,
Backtone,Baclofen,dataset,1.0,,
Baclofen,Baclofen,dataset,1.0,,
Baclon,Baclofen,dataset,1.0,,
Bacmax,Baclofen,dataset,1.0,,
Beklo,Baclofen,dataset,1.0,,
Bicozin,Vitamin B Complex + Zinc,dataset,1.0,,
Canazole,Fluconazole,dataset,1.0,,
Candinil,Fluconazole,dataset,1.0,,
Cetisoft,Cetirizine Hydrochloride,dataset,1.0,,
Conaz,Fluconazole,dataset,1.0,,
Dancel,Ketoconazole (Shampoo),dataset,1.0,,
Denixil,Clonazepam,dataset,1.0,,
Diflu,Fluconazole,dataset,1.0,,
Dinafex,Fexofenadine Hydrochloride,dataset,1.0,,
Disopan,Clonazepam,dataset,1.0,,
Esonix,Esomeprazole,dataset,1.0,,
Esoral,Esomeprazole,dataset,1.0,,
Etizin,Cetirizine Hydrochloride,dataset,1.0,,
Exium,Esomeprazole,dataset,1.0,,
Fenadin,Fexofenadine Hydrochloride,dataset,1.0,,
Fexofast,Fexofenadine Hydrochloride,dataset,1.0,,
Fexo,Fexofenadine Hydrochloride,dataset,1.0,,
Filmet,Metronidazole,dataset,1.0,,
Fixal,Fexofenadine Hydrochloride,dataset,1.0,,
Flamyd,Metronidazole,dataset,1.0,,
Flexibac,Baclofen,dataset,1.0,,
Flexilax,Baclofen,dataset,1.0,,
Flugal,Fluconazole,dataset,1.0,,
Ketocon,Ketoconazole (Shampoo),dataset,1.0,,
Ketoral,Ketoconazole (Tablet),dataset,1.0,,
Ketotab,Ketoconazole (Tablet),dataset,1.0,,
Ketozol,Ketoconazole (Shampoo),dataset,1.0,,
Leptic,Clonazepam,dataset,1.0,,
Lucan-R,Fluconazole,dataset,1.0,,
Lumona,Montelukast Sodium,dataset,1.0,,
M-Kast,Montelukast Sodium,dataset,1.0,,
Maxima,Esomeprazole,dataset,1.0,,
Maxpro,Esomeprazole,dataset,1.0,,
Metro,Metronidazole,dataset,1.0,,
Metsina,Metronidazole,dataset,1.0,,
Monas,Montelukast Sodium,dataset,1.0,,
Montair,Montelukast Sodium,dataset,1.0,,
Montene,Montelukast Sodium,dataset,1.0,,
Montex,Montelukast Sodium,dataset,1.0,,
Napa Extend,Paracetamol,dataset,1.0,,
Napa,Paracetamol,dataset,1.0,,
Nexcap,Esomeprazole,dataset,1.0,,
Nexum,Esomeprazole,dataset,1.0,,
Nidazyl,Metronidazole,dataset,1.0,,
Nizoder,Ketoconazole (Cream),dataset,1.0,,
Odmon,Montelukast Sodium,dataset,1.0,,
Omastin,Fluconazole,dataset,1.0,,
Opton,Esomeprazole,dataset,1.0,,
Progut,Esomeprazole,dataset,1.0,,
Provair,Montelukast Sodium,dataset,1.0,,
Renova,Paracetamol,dataset,1.0,,
Rhinil,Cetirizine Hydrochloride,dataset,1.0,,
Ritch,Fexofenadine Hydrochloride,dataset,1.0,,
Rivotril,Clonazepam,dataset,1.0,,
Romycin,Azithromycin Dihydrate (Ophthalmic),dataset,1.0,,
Rozith,Azithromycin Dihydrate,dataset,1.0,,
Sergel,Esomeprazole,dataset,1.0,,
Tamen,Paracetamol,dataset,1.0,,
Telfast,Fexofenadine Hydrochloride,dataset,1.0,,
Tridosil,Azithromycin Dihydrate,dataset,1.0,,
Trilock,Montelukast Sodium,dataset,1.0,,
Vifas,Fexofenadine Hydrochloride,dataset,1.0,,
Zithrin,Azithromycin Dihydrate,dataset,1.0,,
3 Bion,"Vitamin B1, B6 & B12",medex,1.0,,Tablet
3-C,Cefixime Trihydrate,medex,1.0,,Capsule
3-F,Levofloxacin Hemihydrate,medex,1.0,,Tablet
3-Geocef,Cefixime Trihydrate,medex,1.0,,Capsule
3D,Cholecalciferol [Vitamin D3],medex,1.0,,Capsule
3RD Cef,Cefixime Trihydrate,medex,1.0,,Tablet
5 FU PhaRes,Fluorouracil,medex,1.0,,IV Injection or Infusion
5-Fluril,Fluorouracil,medex,1.0,,IV Injection or Infusion
5-IN-1 Cleanser Cream,Miscellaneous Topical Agents,medex,1.0,,Cream
5X,Ulipristal Acetate [For emergency contraception],medex,1.0,,Tablet
A to Z Silver,Multivitamin & Multimineral [A-Z silver preparation],medex,1.0,,Tablet
A-B1,Thiamine Hydrochloride,medex,1.0,,Tablet
A-Cal,Calcium Carbonate,medex,1.0,,Tablet
A-Cal D,Conventional Calcium + Vitamin D3,medex,1.0,,Tablet
A-Cal DX,Conventional Calcium + Vitamin D3,medex,1.0,,Tablet
A-Calm,Tolperisone Hydrochloride,medex,1.0,,Tablet
A-Card,Isosorbide Mononitrate,medex,1.0,,Tablet
A-Care,Beta carotene + Vitamin C + Vitamin E,medex,1.0,,Tablet
